17 0
19 0.0151767
18 0.249115
23 0
5 0.130192
17 0.186781
15 0
23 1.27453
5 0.0673278
17 0.510999
1 0
21 0
6 0.153159
18 0.271081
3 0
22 0
7 0
22 0
13 0
18 0
19 0.350233
7 0.0369629
23 0
8 0
10 1.27453
6 0.510999
18 0.510999
13 0
14 0
21 0
13 0.567127
12 0.359911
18 0.141611
17 0
5 0.298117
16 0
14 1.27453
17 0.510999
5 0
23 0
1 0.20205
8 0
4 0.934749
17 0.13903
10 0.510999
11 0
10 0.524435
13 0.207365
22 0.216737
23 0.430896
16 0
2 0.510999
14 0.510999
2 0
13 0.741764
16 0.108749
19 0.439805
7 0.510999
12 0
17 0.510999
5 0.510999
14 0.510999
1 0.0611078
2 0.116955
18 0
1 0
6 0.510999
11 0.238958
2 0
20 0
4 0
16 0.300035
22 0
20 0
3 0.510999
15 0.510999
13 0
8 0
19 1.27454
2 0.510999
14 0.510999
10 0.075388
14 0.100629
20 0.260564
2 0.510999
3 0
14 1.27453
0 0
13 1.27455
7 1.27453
2 0.159354
3 0
14 0.0276208
14 0
16 0.956943
13 0.510999
2 0.510999
15 0
5 0.387717
18 0.0621561
17 0.201886
16 1.27453
23 0.383357
11 0.510999
14 1.27453
22 0.271646
21 0.239353
10 0.510999
19 0.228493
8 0.498642
0 0.675856
9 1.27454
2 0
15 0
4 0.205193
13 0
16 0.510999
4 0
10 0
4 0.510999
16 0.510999
3 0
12 0.0369908
0 0
16 0
23 0.510999
11 0.510999
23 0
4 0.252174
20 0
8 0.339293
16 0.171706
21 0
10 0
8 1.27451
13 0.510999
15 0
16 0.397406
20 0
6 0
23 0
11 0
2 0
11 0.359449
21 0
23 0.251417
5 0.510999
17 0.510999
4 0
19 0.510999
7 0.2622
5 0
3 0.388815
4 0.122184
15 0.510999
20 0
18 1.24557
15 0.179375
21 0
6 0.901899
5 0
17 0
13 0
10 1.27453
8 0.510999
21 0.510999
11 0
20 0.510999
8 0.510999
0 0
1 0
11 0.510999
10 0.171693
22 0
19 0.180788
8 0
20 0.510999
1 1.27453
12 0
20 0
6 0.510999
18 0.510999
3 0
18 0.0898034
12 0
1 0.243668
7 0.568479
18 0.146328
17 0.306076
6 0.134517
7 0
14 1.27453
22 0
15 0.0881625
14 0
3 0.510999
2 0
13 0.300285
15 0.887395
21 0.510999
9 0.510999
10 0
14 0.510999
2 0.212346
3 0.298653
11 0
